Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-TI-GLD,Tiny Gold Studs,33,30,3,Display Case D
EAR-TI-SLV,Tiny Silver Studs,23,25,-2,Back Stock
EAR-HG-GLD,Huggie Gold Hoops,14,14,0,Display Case E
EAR-HG-SLV,Huggie Silver Hoops,9,6,3,Display Case C
EAR-FL-GLD,Flat Back Gold Labret,34,34,0,Display Case B
EAR-FL-SLV,Flat Back Silver Labret,29,29,0,Display Case E
EAR-CZ-CLR,CZ Clear Round Stud,10,10,0,Display Case C
EAR-CZ-BLK,CZ Black Round Stud,18,18,0,Display Case A
EAR-OP-WHT,Opal White Cabochon,11,11,0,Display Case A
EAR-OP-PNK,Opal Pink Cabochon,25,22,3,Display Case A
EAR-ST-MN,Star Moon Charm,23,21,2,Wall Rack
EAR-ST-HRT,Star Heart Charm,23,24,-1,Display Case B
EAR-BZ-GLD,Bezel Set Gold,37,35,2,Display Case D
EAR-BZ-SLV,Bezel Set Silver,6,6,0,Back Stock
EAR-CL-DBL,Cluster Double Stack,27,27,0,Display Case B
EAR-CL-TRP,Cluster Triple Stack,15,15,0,Piercing Station 1
EAR-CH-LNK,Chain Link Drop,22,20,2,Display Case D
EAR-CH-THR,Chain Threader,38,35,3,Wall Rack
EAR-DG-RND,Dangle Round Drop,3,2,1,Display Case B
EAR-DG-OVL,Dangle Oval Drop,20,17,3,Display Case D
EAR-CB-SQ,Cabochon Square,19,22,-3,Piercing Station 2
EAR-CB-TRI,Cabochon Triangle,26,26,0,Display Case E
EAR-PL-THN,Plain Thin Ring,19,20,-1,Display Case A
EAR-PL-THK,Plain Thick Ring,34,34,0,Back Stock
RS-REPAIR-01,Repair Kit Standard,5,5,0,Back Stock
