Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-TI-GLD,Tiny Gold Studs,8,8,0,Wall Rack
EAR-TI-SLV,Tiny Silver Studs,16,19,-3,Piercing Station 1
EAR-HG-GLD,Huggie Gold Hoops,21,21,0,Display Case D
EAR-HG-SLV,Huggie Silver Hoops,19,17,2,Display Case A
EAR-FL-GLD,Flat Back Gold Labret,28,27,1,Piercing Station 1
EAR-FL-SLV,Flat Back Silver Labret,0,3,-3,Wall Rack
EAR-CZ-CLR,CZ Clear Round Stud,28,28,0,Piercing Station 2
EAR-CZ-BLK,CZ Black Round Stud,4,4,0,Display Case D
EAR-OP-WHT,Opal White Cabochon,14,16,-2,Back Stock
EAR-OP-PNK,Opal Pink Cabochon,24,24,0,Back Stock
EAR-ST-MN,Star Moon Charm,12,12,0,Back Stock
EAR-ST-HRT,Star Heart Charm,8,8,0,Wall Rack
EAR-BZ-GLD,Bezel Set Gold,14,18,-4,Back Stock
EAR-BZ-SLV,Bezel Set Silver,23,23,0,Display Case B
EAR-CL-DBL,Cluster Double Stack,13,16,-3,Display Case E
EAR-CL-TRP,Cluster Triple Stack,23,25,-2,Display Case E
EAR-CH-LNK,Chain Link Drop,9,9,0,Wall Rack
EAR-CH-THR,Chain Threader,5,6,-1,Wall Rack
EAR-DG-RND,Dangle Round Drop,7,9,-2,Piercing Station 2
EAR-DG-OVL,Dangle Oval Drop,5,5,0,Display Case C
EAR-CB-SQ,Cabochon Square,13,14,-1,Piercing Station 1
EAR-CB-TRI,Cabochon Triangle,31,31,0,Display Case C
EAR-PL-THN,Plain Thin Ring,14,13,1,Display Case B
EAR-PL-THK,Plain Thick Ring,8,13,-5,Piercing Station 1
