Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-TI-GLD,Tiny Gold Studs,34,35,-1,Display Case E
EAR-TI-SLV,Tiny Silver Studs,14,14,0,Back Stock
EAR-HG-GLD,Huggie Gold Hoops,21,21,0,Back Stock
EAR-HG-SLV,Huggie Silver Hoops,12,12,0,Display Case C
EAR-FL-GLD,Flat Back Gold Labret,20,23,-3,Display Case A
EAR-FL-SLV,Flat Back Silver Labret,9,7,2,Display Case A
EAR-CZ-CLR,CZ Clear Round Stud,19,18,1,Display Case D
EAR-CZ-BLK,CZ Black Round Stud,5,3,2,Wall Rack
EAR-OP-WHT,Opal White Cabochon,20,20,0,Display Case E
EAR-OP-PNK,Opal Pink Cabochon,27,27,0,Display Case E
EAR-ST-MN,Star Moon Charm,5,5,0,Display Case C
EAR-ST-HRT,Star Heart Charm,32,32,0,Wall Rack
EAR-BZ-GLD,Bezel Set Gold,10,11,-1,Piercing Station 1
EAR-BZ-SLV,Bezel Set Silver,24,24,0,Piercing Station 2
EAR-CL-DBL,Cluster Double Stack,25,25,0,Back Stock
EAR-CL-TRP,Cluster Triple Stack,22,22,0,Display Case D
EAR-CH-LNK,Chain Link Drop,19,19,0,Wall Rack
EAR-CH-THR,Chain Threader,8,8,0,Display Case A
EAR-DG-RND,Dangle Round Drop,26,26,0,Piercing Station 2
EAR-DG-OVL,Dangle Oval Drop,15,12,3,Piercing Station 1
EAR-CB-SQ,Cabochon Square,23,22,1,Display Case D
EAR-CB-TRI,Cabochon Triangle,34,34,0,Wall Rack
EAR-PL-THN,Plain Thin Ring,21,21,0,Wall Rack
EAR-PL-THK,Plain Thick Ring,27,27,0,Back Stock
RS-REPAIR-02,Repair Kit Premium,5,5,0,Back Stock
