Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-TI-GLD,Tiny Gold Studs,21,22,-1,Piercing Station 2
EAR-TI-SLV,Tiny Silver Studs,18,20,-2,Wall Rack
EAR-HG-GLD,Huggie Gold Hoops,9,8,1,Display Case B
EAR-HG-SLV,Huggie Silver Hoops,11,15,-4,Piercing Station 2
EAR-FL-GLD,Flat Back Gold Labret,26,28,-2,Piercing Station 1
EAR-FL-SLV,Flat Back Silver Labret,28,28,0,Display Case B
EAR-CZ-CLR,CZ Clear Round Stud,22,22,0,Display Case E
EAR-CZ-BLK,CZ Black Round Stud,11,11,0,Wall Rack
EAR-OP-WHT,Opal White Cabochon,8,7,1,Display Case B
EAR-OP-PNK,Opal Pink Cabochon,24,25,-1,Display Case C
EAR-ST-MN,Star Moon Charm,25,23,2,Display Case B
EAR-ST-HRT,Star Heart Charm,28,29,-1,Display Case A
EAR-BZ-GLD,Bezel Set Gold,21,21,0,Piercing Station 1
EAR-BZ-SLV,Bezel Set Silver,34,34,0,Display Case D
EAR-CL-DBL,Cluster Double Stack,29,32,-3,Display Case D
EAR-CL-TRP,Cluster Triple Stack,24,25,-1,Display Case B
EAR-CH-LNK,Chain Link Drop,18,16,2,Piercing Station 2
EAR-CH-THR,Chain Threader,3,3,0,Display Case E
EAR-DG-RND,Dangle Round Drop,16,19,-3,Display Case E
EAR-DG-OVL,Dangle Oval Drop,1,2,-1,Display Case C
EAR-CB-SQ,Cabochon Square,27,27,0,Display Case B
EAR-CB-TRI,Cabochon Triangle,0,3,-3,Display Case B
EAR-PL-THN,Plain Thin Ring,22,26,-4,Piercing Station 2
EAR-PL-THK,Plain Thick Ring,27,25,2,Display Case E
