Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-TI-GLD,Tiny Gold Studs,19,19,0,Back Stock
EAR-TI-SLV,Tiny Silver Studs,16,13,3,Wall Rack
EAR-HG-GLD,Huggie Gold Hoops,31,29,2,Back Stock
EAR-HG-SLV,Huggie Silver Hoops,21,21,0,Piercing Station 1
EAR-FL-GLD,Flat Back Gold Labret,16,16,0,Display Case B
EAR-FL-SLV,Flat Back Silver Labret,25,25,0,Piercing Station 2
EAR-CZ-CLR,CZ Clear Round Stud,21,21,0,Display Case A
EAR-CZ-BLK,CZ Black Round Stud,10,10,0,Piercing Station 1
EAR-OP-WHT,Opal White Cabochon,3,2,1,Wall Rack
EAR-OP-PNK,Opal Pink Cabochon,20,21,-1,Display Case A
EAR-ST-MN,Star Moon Charm,16,16,0,Display Case A
EAR-ST-HRT,Star Heart Charm,15,14,1,Piercing Station 2
EAR-BZ-GLD,Bezel Set Gold,27,27,0,Display Case D
EAR-BZ-SLV,Bezel Set Silver,26,26,0,Piercing Station 2
EAR-CL-DBL,Cluster Double Stack,9,7,2,Piercing Station 2
EAR-CL-TRP,Cluster Triple Stack,21,19,2,Display Case E
EAR-CH-LNK,Chain Link Drop,19,19,0,Piercing Station 2
EAR-CH-THR,Chain Threader,6,6,0,Display Case C
EAR-DG-RND,Dangle Round Drop,8,9,-1,Wall Rack
EAR-DG-OVL,Dangle Oval Drop,33,33,0,Display Case D
EAR-CB-SQ,Cabochon Square,8,11,-3,Display Case A
EAR-CB-TRI,Cabochon Triangle,13,13,0,Display Case B
EAR-PL-THN,Plain Thin Ring,8,10,-2,Wall Rack
EAR-PL-THK,Plain Thick Ring,7,7,0,Display Case C
RS-REPAIR-02,Repair Kit Premium,5,5,0,Back Stock
