Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-TI-GLD,Tiny Gold Studs,24,24,0,Display Case C
EAR-TI-SLV,Tiny Silver Studs,11,11,0,Display Case E
EAR-HG-GLD,Huggie Gold Hoops,11,11,0,Display Case B
EAR-HG-SLV,Huggie Silver Hoops,35,33,2,Wall Rack
EAR-FL-GLD,Flat Back Gold Labret,33,30,3,Piercing Station 1
EAR-FL-SLV,Flat Back Silver Labret,22,22,0,Display Case C
EAR-CZ-CLR,CZ Clear Round Stud,31,32,-1,Wall Rack
EAR-CZ-BLK,CZ Black Round Stud,5,5,0,Piercing Station 1
EAR-OP-WHT,Opal White Cabochon,21,21,0,Wall Rack
EAR-OP-PNK,Opal Pink Cabochon,2,5,-3,Piercing Station 1
EAR-ST-MN,Star Moon Charm,7,7,0,Back Stock
EAR-ST-HRT,Star Heart Charm,6,4,2,Wall Rack
EAR-BZ-GLD,Bezel Set Gold,16,14,2,Piercing Station 1
EAR-BZ-SLV,Bezel Set Silver,11,11,0,Display Case A
EAR-CL-DBL,Cluster Double Stack,23,23,0,Display Case B
EAR-CL-TRP,Cluster Triple Stack,13,13,0,Display Case A
EAR-CH-LNK,Chain Link Drop,30,30,0,Wall Rack
EAR-CH-THR,Chain Threader,12,12,0,Piercing Station 1
EAR-DG-RND,Dangle Round Drop,20,20,0,Piercing Station 2
EAR-DG-OVL,Dangle Oval Drop,26,23,3,Display Case A
EAR-CB-SQ,Cabochon Square,23,23,0,Display Case B
EAR-CB-TRI,Cabochon Triangle,26,26,0,Display Case E
EAR-PL-THN,Plain Thin Ring,11,11,0,Piercing Station 1
EAR-PL-THK,Plain Thick Ring,11,11,0,Piercing Station 1
