Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-TI-GLD,Tiny Gold Studs,18,18,0,Display Case D
EAR-TI-SLV,Tiny Silver Studs,5,4,1,Piercing Station 2
EAR-HG-GLD,Huggie Gold Hoops,37,35,2,Display Case E
EAR-HG-SLV,Huggie Silver Hoops,6,5,1,Display Case C
EAR-FL-GLD,Flat Back Gold Labret,4,2,2,Display Case D
EAR-FL-SLV,Flat Back Silver Labret,20,20,0,Display Case D
EAR-CZ-CLR,CZ Clear Round Stud,36,34,2,Back Stock
EAR-CZ-BLK,CZ Black Round Stud,12,12,0,Display Case A
EAR-OP-WHT,Opal White Cabochon,2,2,0,Display Case C
EAR-OP-PNK,Opal Pink Cabochon,19,19,0,Piercing Station 2
EAR-ST-MN,Star Moon Charm,27,27,0,Piercing Station 2
EAR-ST-HRT,Star Heart Charm,32,35,-3,Display Case A
EAR-BZ-GLD,Bezel Set Gold,7,7,0,Back Stock
EAR-BZ-SLV,Bezel Set Silver,23,24,-1,Piercing Station 1
EAR-CL-DBL,Cluster Double Stack,16,16,0,Display Case D
EAR-CL-TRP,Cluster Triple Stack,27,27,0,Display Case A
EAR-CH-LNK,Chain Link Drop,28,28,0,Back Stock
EAR-CH-THR,Chain Threader,6,6,0,Back Stock
EAR-DG-RND,Dangle Round Drop,11,9,2,Back Stock
EAR-DG-OVL,Dangle Oval Drop,20,18,2,Wall Rack
EAR-CB-SQ,Cabochon Square,33,32,1,Display Case D
EAR-CB-TRI,Cabochon Triangle,31,31,0,Display Case A
EAR-PL-THN,Plain Thin Ring,18,18,0,Display Case B
EAR-PL-THK,Plain Thick Ring,17,16,1,Display Case D
