Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-TI-GLD,Tiny Gold Studs,13,13,0,Piercing Station 1
EAR-TI-SLV,Tiny Silver Studs,18,15,3,Display Case C
EAR-HG-GLD,Huggie Gold Hoops,27,27,0,Display Case B
EAR-HG-SLV,Huggie Silver Hoops,19,17,2,Piercing Station 2
EAR-FL-GLD,Flat Back Gold Labret,21,23,-2,Piercing Station 2
EAR-FL-SLV,Flat Back Silver Labret,6,7,-1,Back Stock
EAR-CZ-CLR,CZ Clear Round Stud,5,5,0,Display Case B
EAR-CZ-BLK,CZ Black Round Stud,8,6,2,Piercing Station 1
EAR-OP-WHT,Opal White Cabochon,27,27,0,Piercing Station 1
EAR-OP-PNK,Opal Pink Cabochon,19,19,0,Wall Rack
EAR-ST-MN,Star Moon Charm,25,24,1,Back Stock
EAR-ST-HRT,Star Heart Charm,13,13,0,Piercing Station 2
EAR-BZ-GLD,Bezel Set Gold,17,20,-3,Display Case D
EAR-BZ-SLV,Bezel Set Silver,19,19,0,Display Case C
EAR-CL-DBL,Cluster Double Stack,11,11,0,Piercing Station 2
EAR-CL-TRP,Cluster Triple Stack,8,8,0,Display Case B
EAR-CH-LNK,Chain Link Drop,21,21,0,Wall Rack
EAR-CH-THR,Chain Threader,19,19,0,Display Case B
EAR-DG-RND,Dangle Round Drop,13,13,0,Piercing Station 2
EAR-DG-OVL,Dangle Oval Drop,34,34,0,Piercing Station 2
EAR-CB-SQ,Cabochon Square,7,7,0,Piercing Station 1
EAR-CB-TRI,Cabochon Triangle,22,22,0,Piercing Station 2
EAR-PL-THN,Plain Thin Ring,31,28,3,Piercing Station 2
EAR-PL-THK,Plain Thick Ring,17,17,0,Back Stock
