Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-TI-GLD,Tiny Gold Studs,8,8,0,Display Case A
EAR-TI-SLV,Tiny Silver Studs,30,30,0,Display Case A
EAR-HG-GLD,Huggie Gold Hoops,9,10,-1,Display Case B
EAR-HG-SLV,Huggie Silver Hoops,28,28,0,Display Case C
EAR-FL-GLD,Flat Back Gold Labret,25,25,0,Back Stock
EAR-FL-SLV,Flat Back Silver Labret,19,19,0,Display Case C
EAR-CZ-CLR,CZ Clear Round Stud,31,32,-1,Display Case E
EAR-CZ-BLK,CZ Black Round Stud,7,9,-2,Wall Rack
EAR-OP-WHT,Opal White Cabochon,18,16,2,Piercing Station 2
EAR-OP-PNK,Opal Pink Cabochon,22,25,-3,Display Case B
EAR-ST-MN,Star Moon Charm,18,18,0,Back Stock
EAR-ST-HRT,Star Heart Charm,25,25,0,Display Case E
EAR-BZ-GLD,Bezel Set Gold,26,25,1,Display Case B
EAR-BZ-SLV,Bezel Set Silver,3,3,0,Back Stock
EAR-CL-DBL,Cluster Double Stack,17,16,1,Display Case B
EAR-CL-TRP,Cluster Triple Stack,21,21,0,Piercing Station 2
EAR-CH-LNK,Chain Link Drop,4,4,0,Display Case A
EAR-CH-THR,Chain Threader,33,33,0,Display Case B
EAR-DG-RND,Dangle Round Drop,10,10,0,Piercing Station 2
EAR-DG-OVL,Dangle Oval Drop,31,28,3,Display Case C
EAR-CB-SQ,Cabochon Square,7,8,-1,Wall Rack
EAR-CB-TRI,Cabochon Triangle,4,4,0,Piercing Station 1
EAR-PL-THN,Plain Thin Ring,27,30,-3,Display Case D
EAR-PL-THK,Plain Thick Ring,28,25,3,Back Stock
