Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-TI-GLD,Tiny Gold Studs,29,31,-2,Display Case A
EAR-TI-SLV,Tiny Silver Studs,35,35,0,Display Case C
EAR-HG-GLD,Huggie Gold Hoops,18,18,0,Display Case D
EAR-HG-SLV,Huggie Silver Hoops,2,7,-5,Wall Rack
EAR-FL-GLD,Flat Back Gold Labret,14,14,0,Display Case A
EAR-FL-SLV,Flat Back Silver Labret,4,4,0,Display Case B
EAR-CZ-CLR,CZ Clear Round Stud,15,15,0,Wall Rack
EAR-CZ-BLK,CZ Black Round Stud,18,23,-5,Display Case E
EAR-OP-WHT,Opal White Cabochon,10,15,-5,Display Case D
EAR-OP-PNK,Opal Pink Cabochon,33,32,1,Display Case D
EAR-ST-MN,Star Moon Charm,14,15,-1,Piercing Station 2
EAR-ST-HRT,Star Heart Charm,22,22,0,Display Case E
EAR-BZ-GLD,Bezel Set Gold,24,24,0,Display Case E
EAR-BZ-SLV,Bezel Set Silver,36,34,2,Wall Rack
EAR-CL-DBL,Cluster Double Stack,29,32,-3,Piercing Station 1
EAR-CL-TRP,Cluster Triple Stack,22,22,0,Piercing Station 2
EAR-CH-LNK,Chain Link Drop,16,16,0,Display Case C
EAR-CH-THR,Chain Threader,28,28,0,Display Case E
EAR-DG-RND,Dangle Round Drop,23,23,0,Display Case D
EAR-DG-OVL,Dangle Oval Drop,18,17,1,Wall Rack
EAR-CB-SQ,Cabochon Square,21,23,-2,Display Case E
EAR-CB-TRI,Cabochon Triangle,33,33,0,Wall Rack
EAR-PL-THN,Plain Thin Ring,24,24,0,Display Case C
EAR-PL-THK,Plain Thick Ring,32,33,-1,Display Case C
