Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-TI-GLD,Tiny Gold Studs,26,26,0,Display Case B
EAR-TI-SLV,Tiny Silver Studs,32,32,0,Display Case C
EAR-HG-GLD,Huggie Gold Hoops,2,2,0,Display Case E
EAR-HG-SLV,Huggie Silver Hoops,8,8,0,Back Stock
EAR-FL-GLD,Flat Back Gold Labret,7,10,-3,Piercing Station 2
EAR-FL-SLV,Flat Back Silver Labret,34,34,0,Display Case B
EAR-CZ-CLR,CZ Clear Round Stud,8,8,0,Wall Rack
EAR-CZ-BLK,CZ Black Round Stud,12,14,-2,Display Case E
EAR-OP-WHT,Opal White Cabochon,24,24,0,Piercing Station 2
EAR-OP-PNK,Opal Pink Cabochon,4,4,0,Back Stock
EAR-ST-MN,Star Moon Charm,15,15,0,Wall Rack
EAR-ST-HRT,Star Heart Charm,0,2,-2,Display Case A
EAR-BZ-GLD,Bezel Set Gold,35,33,2,Display Case C
EAR-BZ-SLV,Bezel Set Silver,9,6,3,Display Case B
EAR-CL-DBL,Cluster Double Stack,15,16,-1,Wall Rack
EAR-CL-TRP,Cluster Triple Stack,18,18,0,Wall Rack
EAR-CH-LNK,Chain Link Drop,12,13,-1,Display Case A
EAR-CH-THR,Chain Threader,19,22,-3,Piercing Station 2
EAR-DG-RND,Dangle Round Drop,7,4,3,Display Case A
EAR-DG-OVL,Dangle Oval Drop,12,12,0,Piercing Station 1
EAR-CB-SQ,Cabochon Square,27,30,-3,Display Case E
EAR-CB-TRI,Cabochon Triangle,25,25,0,Piercing Station 1
EAR-PL-THN,Plain Thin Ring,26,27,-1,Piercing Station 2
EAR-PL-THK,Plain Thick Ring,29,26,3,Wall Rack
