Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-TI-GLD,Tiny Gold Studs,24,27,-3,Piercing Station 1
EAR-TI-SLV,Tiny Silver Studs,28,33,-5,Wall Rack
EAR-HG-GLD,Huggie Gold Hoops,30,34,-4,Display Case C
EAR-HG-SLV,Huggie Silver Hoops,2,6,-4,Back Stock
EAR-FL-GLD,Flat Back Gold Labret,11,11,0,Display Case C
EAR-FL-SLV,Flat Back Silver Labret,6,9,-3,Display Case D
EAR-CZ-CLR,CZ Clear Round Stud,7,9,-2,Wall Rack
EAR-CZ-BLK,CZ Black Round Stud,13,15,-2,Display Case C
EAR-OP-WHT,Opal White Cabochon,3,3,0,Display Case D
EAR-OP-PNK,Opal Pink Cabochon,7,12,-5,Display Case C
EAR-ST-MN,Star Moon Charm,11,11,0,Display Case A
EAR-ST-HRT,Star Heart Charm,12,13,-1,Back Stock
EAR-BZ-GLD,Bezel Set Gold,0,3,-3,Display Case E
EAR-BZ-SLV,Bezel Set Silver,26,30,-4,Wall Rack
EAR-CL-DBL,Cluster Double Stack,18,16,2,Piercing Station 2
EAR-CL-TRP,Cluster Triple Stack,13,13,0,Back Stock
EAR-CH-LNK,Chain Link Drop,18,23,-5,Wall Rack
EAR-CH-THR,Chain Threader,16,16,0,Piercing Station 2
EAR-DG-RND,Dangle Round Drop,8,8,0,Display Case A
EAR-DG-OVL,Dangle Oval Drop,33,34,-1,Piercing Station 2
EAR-CB-SQ,Cabochon Square,7,8,-1,Display Case C
EAR-CB-TRI,Cabochon Triangle,0,4,-4,Back Stock
EAR-PL-THN,Plain Thin Ring,6,7,-1,Wall Rack
EAR-PL-THK,Plain Thick Ring,0,2,-2,Piercing Station 2
