productid,sku,quantity,location,item cost price
4003,EAR-HG-SLV,-2,Back Stock,32.99
4000,EAR-TI-GLD,-5,Display Case E,24.99
4008,EAR-OP-WHT,-3,Display Case C,25.99
4007,EAR-CZ-BLK,0,Display Case E,19.99
4020,EAR-CB-SQ,0,Piercing Station 1,31.99
4004,EAR-FL-GLD,0,Piercing Station 2,29.99
4023,EAR-PL-THK,2,Piercing Station 1,16.99
4002,EAR-HG-GLD,-1,Display Case A,34.99
4013,EAR-BZ-SLV,-2,Display Case B,34.99
4022,EAR-PL-THN,2,Display Case B,14.99
4014,EAR-CL-DBL,1,Piercing Station 1,42.99
4001,EAR-TI-SLV,0,Display Case B,22.99
4017,EAR-CH-THR,-5,Display Case D,22.99
4011,EAR-ST-HRT,-2,Display Case D,18.99
4021,EAR-CB-TRI,2,Display Case E,31.99
4015,EAR-CL-TRP,0,Piercing Station 1,48.99
4010,EAR-ST-MN,0,Piercing Station 1,18.99
4005,EAR-FL-SLV,1,Display Case E,27.99
4006,EAR-CZ-CLR,-4,Display Case B,19.99
