Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
PK138_R,No Description,0,8000,-8000,
PK080,No Description,0,5850,-5850,
PK073,No Description,0,2710,-2710,
PK094,No Description,0,1750,-1750,
PK013,No Description,0,1600,-1600,
PK099,No Description,0,1100,-1100,
Labret6,Labret- 6mm,455,1479,-1024,"[76, 77]"
PK031_R,No Description,0,975,-975,
PK104,No Description,0,500,-500,
PK140,No Description,0,200,-200,
Labret5,Labret - 5mm,238,426,-188,[81]
PL005TH_11,16g  Threadless  11mm Length  4mm Disc Labret - Invictus,0,100,-100,
Labret8,Labret - 8mm,2807,2736,71,"[76, 78, 79, 82, 86]"
PL009TH_8D,16G  Threadless  10mm Length  Heart Labret,0,68,-68,
SALINE1,Saline Can,307,366,-59,"[17, 19, 20, 40, 85]"
PL008TH_8H,16G  Threadless  10mm Length  Daisy Labret,0,54,-54,
PK069-GWP,No Description,0,49,-49,
PK091,No Description,0,40,-40,
FT001T,Flatback Insertion Tool - Long Pin Taper,55,95,-40,"[1, 14, 21, 38, 40]"
MK004GWP,No Description,0,34,-34,
PK090,No Description,0,28,-28,
Labret11,Labret - 11mm,102,128,-26,"[79, 86]"
ST148G,Longhorn Stud,0,20,-20,
PC022SGR_8,Titanium Clicker Bezel Green 8mm,38,18,20,"[30, 70]"
PL009TH_10D,16G  Threadless  6mm Length  Heart Labret,0,20,-20,
ST014GGR,Mini CZ Stud,0,19,-19,
FL001GT_8,8mm PVD Plated Labret  4mm Disc.,48,64,-16,"[14, 8]"
HU017S,Daisy Huggie,0,15,-15,
PS005SCL,Ti CZ Clear 4mm,153,168,-15,"[30, 73, 83]"
PC004G,8mm Clicker,10,25,-15,"[3, 33]"
Labret10,Labret - 10mm,0,15,-15,
HU005RG,Mini Pave Huggie - Rose Gold,0,13,-13,
ST192SCL,CZ Skull Stud,0,12,-12,
ST018BK,Mini Ball Stud - Gunmetal,0,12,-12,
ST148S,Longhorn Stud,0,10,-10,
FB114S,Chunky Flatback Huggie,0,10,-10,
PS208KCL,14K CZ Bezel Cluster Piercing Stud,15,5,10,"[31, 67]"
ST018RG,Mini Ball Stud - Rose Gold,0,10,-10,
ST055S,Daisy Stud,0,10,-10,
HU055S,Cowboy Hat Huggie,0,10,-10,
PK010,No Description,0,10,-10,
ST177GPL,Pearl Daisy Stud,0,10,-10,
FL001ST_8,8mm PVD Plated Labret  4mm Disc.,3,13,-10,[8]
ST132S,Horse Stud,0,10,-10,
ST183SBK,Bat Stud,0,10,-10,
HU017G,Daisy Huggie,0,10,-10,
RS033,No Description,0,10,-10,
PK014,No Description,0,10,-10,
FB125GCL,Micro Crown Marquise Flatback Stud,32,22,10,"[16, 37, 38, 7]"
ST018S,Mini Ball Stud,0,10,-10,
HU121SCL,Mini Duo CZ Huggie,0,9,-9,
PS127SRD,Titanium Enamel Heart,0,9,-9,
HU054S,Cowboy Boot Huggie,0,8,-8,
FL001GT_6,6mm PVD Plated Labret  4mm Disc.,11,19,-8,[8]
ST014BK,Mini CZ Stud Gunmetal,0,8,-8,
ST014RG,Mini CZ Stud - Rose Gold,0,7,-7,
ST013GCL,Micro CZ Stud,0,7,-7,
HP049S,Medium French Twist Hoop,0,7,-7,
ST193GBK,CZ Spider Stud,0,7,-7,
ST192GCL,CZ Skull Stud,0,7,-7,
PS081SGR,Ti CZ Green 2.5mm,16,9,7,"[30, 72]"
FB121GCL,CZ Stones Flatback Huggie,0,6,-6,
PB006S,Titanium Curved Barbell 10mm,4,10,-6,[69]
FB085GTCL,Mini CZ Flatback Stud,25,19,6,"[36, 37, 7]"
PS123SCL,Ti Trinity CZ,33,27,6,"[30, 73]"
HP049G,Medium French Twist Hoop,14,20,-6,"[32, 9]"
HU054G,Cowboy Boot Huggie,0,6,-6,
FB085STCL,Mini CZ Flatback Stud,18,13,5,"[36, 37, 7]"
PS202SGR,Ti Stacked CZ Green,20,15,5,"[30, 75]"
PC005G,10mm Clicker,7,12,-5,[3]
HU087GPL,Pearl Daisy Huggie,0,5,-5,
PS181SCL,Ti Dangle Clear,48,43,5,"[30, 74]"
RS031,No Description,0,5,-5,
PS109SCL,Titanium CZ Heart Clear,0,5,-5,
FC024SCL_8,Crown CZ Clicker 8mm,0,5,-5,
PS096G,14K Trinity Ball,14,19,-5,"[31, 61]"
FC010GT,8mm Double Clicker,24,28,-4,"[3, 33, 38]"
FC017SCL_8,Pave Clicker 8mm,8,12,-4,"[33, 4]"
PS202SPL,Ti Stacked CZ Pearl,13,17,-4,"[30, 75]"
FA001GT,PVD Gold Converter,20,24,-4,[1]
KP027_YG,14K Round Prong Diamond Yellow Gold,25,29,-4,"[31, 67, 86]"
HU127GCL_8,Open CZ Huggie 8mm,0,4,-4,
ST186S,Rose Stud,0,4,-4,
PS006S,Ti Ball,95,99,-4,"[30, 70]"
PS038S,Ti Star,92,88,4,"[30, 71]"
FL001ST_6,6mm PVD Plated Labret  4mm Disc.,4,8,-4,[8]
PS221AGCL,Anodized Twinkle Heart,0,4,-4,
FB121SCL,CZ Stones Flatback Huggie,0,4,-4,
HU005GCL,Mini Pave Huggie,21,25,-4,"[10, 32]"
PS037S,Ti Heart,30,33,-3,"[30, 71]"
PS052SCL,Ti Bezel,104,101,3,"[30, 71]"
PS177SCL,Ti Crown Clear,112,115,-3,"[30, 74]"
FC017GCL_10,Pave Clicker 10mm,7,10,-3,"[34, 4]"
PS123SPK,Ti CZ Trinity Pink,0,3,-3,
PS099G,14k Star,19,22,-3,"[31, 61]"
FC017SCL_6,Pave Clicker 6mm,3,6,-3,[4]
PK156,No Description,0,3,-3,
HU122G,Micro Bow Huggie,0,3,-3,
PK135,No Description,0,3,-3,
PB002S,Titanium Curved Barbell 8mm,19,17,2,"[30, 69]"
FB111S,Bow Flatback Stud,16,14,2,"[37, 7]"
HU014RG,Small Slim Huggie - Rose Gold,0,2,-2,
PC023S_8,Titanium Clicker 16G 8mm,25,27,-2,"[30, 69]"
HP005S,Medium Slim Hoop,12,14,-2,"[32, 9]"
PC021GGR_8,14K Clicker Bezel Green 8mm,3,5,-2,"[31, 60]"
HP010G,Small French Twist Hoop,20,18,2,"[32, 9]"
HU005SCL,Mini Pave Huggie,50,48,2,"[10, 15, 32]"
ST013SCL,Micro CZ Stud,0,2,-2,
FC017GCL_12,Pave Clicker 12mm,9,11,-2,"[34, 4]"
FC028GCL_8,Bezel Clicker 8mm,19,17,2,"[33, 5]"
FC012G_8,Pear Clicker 8mm,12,10,2,"[33, 38, 4]"
FC024GCL_8,Crown CZ Clicker 8mm,0,2,-2,
FC017GCL_8,Pave Clicker 8mm,18,20,-2,"[33, 34, 35, 38, 4]"
HU127SCL_5,Open CZ Huggie 5mm,0,2,-2,
PB012S,Titanium Industrial Bar 35mm,13,15,-2,[69]
HU127SCL_8,Open CZ Huggie 8mm,0,2,-2,
PC003G,6mm Clicker,24,26,-2,[3]
PS175KCL,14k Dangle Clear,9,11,-2,"[31, 64]"
CI003G,Connector Chain,7,9,-2,"[2, 36]"
PS007S,Ti Trinity Ball,38,40,-2,"[30, 70]"
FB093GTCL,Pave Lightning Flatback Stud,0,2,-2,
PS210KCL,14K Curved CZ Pear,40,42,-2,"[31, 66]"
FB128GCL,Bow CZ Dangle Flatback Stud,12,10,2,"[37, 38, 7]"
FL001GT_10,10mm PVD Plated Labret  4mm Disc.,14,16,-2,[8]
ST183GBK,Bat Stud,0,2,-2,
PS081SAB,Ti CZ Aurora Borealis 2.5mm,59,57,2,"[30, 72]"
PS198KTQ,14K Pear Turquoise,15,17,-2,"[31, 63]"
PS168WDI,14K Mini Diamond White Gold,18,16,2,"[31, 67]"
FA001ST,PVD Silver Converter,15,17,-2,[1]
PS056G,14k Moon,1,3,-2,[31]
PS164SPI,Ti Enamel Heart,4,6,-2,[30]
HP005G,Medium Slim Hoop,16,18,-2,"[32, 9]"
FC011G,12mm Clicker,14,16,-2,[3]
FB130GBE,Coffee Cup Flatback Stud,12,14,-2,"[12, 37]"
PS198KPL,14K Pear Pearl,14,12,2,"[31, 63]"
PS216G,Anodized Pyramid,18,19,-1,"[30, 72]"
FB153G,Fuck Flatback,10,9,1,"[37, 8]"
FB129G,Middle Finger Flatback Stud,22,23,-1,"[12, 37]"
FB118SCL,Pear Dangle Flatback Stud,8,9,-1,"[37, 7]"
VM101,No Description,0,1,-1,
PS209K,14K Mini Solid Marquise Piercing Stud,0,1,-1,
FC032G_5,5mm Clicker,18,17,1,[3]
FC023GCL_8,Baguette Clicker 8mm,15,16,-1,"[33, 5]"
PC032SCL_8,8mm Twinkle Clicker,13,14,-1,"[33, 6]"
HU145GCL,Micro Bezel Baguette Huggie,7,8,-1,"[11, 37]"
