productid,sku,quantity,location,item cost price
4003,EAR-HG-SLV,1,Piercing Station 2,32.99
4010,EAR-ST-MN,1,Display Case A,18.99
4002,EAR-HG-GLD,0,Piercing Station 1,34.99
4016,EAR-CH-LNK,-2,Display Case B,22.99
4005,EAR-FL-SLV,0,Display Case E,27.99
4001,EAR-TI-SLV,0,Display Case C,22.99
4007,EAR-CZ-BLK,-3,Display Case C,19.99
4014,EAR-CL-DBL,0,Piercing Station 2,42.99
4020,EAR-CB-SQ,0,Display Case B,31.99
4008,EAR-OP-WHT,-3,Piercing Station 2,25.99
4015,EAR-CL-TRP,2,Display Case C,48.99
4009,EAR-OP-PNK,0,Back Stock,27.99
4021,EAR-CB-TRI,-5,Piercing Station 2,31.99
4019,EAR-DG-OVL,0,Piercing Station 1,28.99
4022,EAR-PL-THN,0,Display Case D,14.99
4004,EAR-FL-GLD,0,Wall Rack,29.99
4006,EAR-CZ-CLR,0,Display Case C,19.99
5000,RS-REPAIR-01,0,Back Stock,9.99
