Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-DG-RND,Dangle Round Drop,25,25,0,Display Case A
EAR-DG-OVL,Dangle Oval Drop,21,21,0,Display Case E
EAR-CL-TRP,Cluster Triple Stack,29,33,-4,Display Case B
EAR-TI-SLV,Tiny Silver Studs,8,10,-2,Display Case E
EAR-FL-SLV,Flat Back Silver Labret,21,22,-1,Display Case E
EAR-OP-WHT,Opal White Cabochon,9,7,2,Display Case D
EAR-BZ-GLD,Bezel Set Gold,30,28,2,Wall Rack
EAR-FL-GLD,Flat Back Gold Labret,21,25,-4,Display Case A
EAR-CH-THR,Chain Threader,4,6,-2,Display Case E
EAR-TI-GLD,Tiny Gold Studs,5,10,-5,Back Stock
EAR-CZ-CLR,CZ Clear Round Stud,9,13,-4,Display Case D
EAR-PL-THN,Plain Thin Ring,5,5,0,Display Case D
EAR-ST-HRT,Star Heart Charm,2,5,-3,Piercing Station 1
EAR-HG-SLV,Huggie Silver Hoops,26,25,1,Wall Rack
EAR-CL-DBL,Cluster Double Stack,9,9,0,Display Case A
EAR-CZ-BLK,CZ Black Round Stud,33,33,0,Wall Rack
EAR-CH-LNK,Chain Link Drop,32,32,0,Back Stock
RS-REPAIR-02,Repair Kit Premium,5,5,0,Back Stock
