productid,sku,quantity,location,item cost price
4000,EAR-TI-GLD,1,Wall Rack,24.99
4001,EAR-TI-SLV,-1,Back Stock,22.99
4002,EAR-HG-GLD,1,Wall Rack,34.99
4003,EAR-HG-SLV,2,Wall Rack,32.99
4004,EAR-FL-GLD,-3,Display Case D,29.99
4005,EAR-FL-SLV,-4,Back Stock,27.99
4006,EAR-CZ-CLR,1,Display Case E,19.99
4007,EAR-CZ-BLK,0,Display Case E,19.99
4008,EAR-OP-WHT,0,Piercing Station 1,25.99
4009,EAR-OP-PNK,0,Back Stock,27.99
4010,EAR-ST-MN,0,Display Case C,18.99
4011,EAR-ST-HRT,-5,Display Case C,18.99
4012,EAR-BZ-GLD,-1,Piercing Station 2,36.99
4013,EAR-BZ-SLV,-4,Wall Rack,34.99
4014,EAR-CL-DBL,0,Piercing Station 2,42.99
4015,EAR-CL-TRP,2,Display Case A,48.99
4016,EAR-CH-LNK,-3,Piercing Station 2,22.99
4017,EAR-CH-THR,2,Display Case E,22.99
4018,EAR-DG-RND,1,Piercing Station 2,26.99
4019,EAR-DG-OVL,-4,Back Stock,28.99
4020,EAR-CB-SQ,0,Wall Rack,31.99
4021,EAR-CB-TRI,-2,Piercing Station 2,31.99
4022,EAR-PL-THN,2,Piercing Station 1,14.99
4023,EAR-PL-THK,2,Piercing Station 2,16.99
