productid,sku,quantity,location,item cost price
4014,EAR-CL-DBL,-2,Display Case E,42.99
4002,EAR-HG-GLD,-3,Display Case E,34.99
4021,EAR-CB-TRI,-2,Back Stock,31.99
4007,EAR-CZ-BLK,-2,Display Case B,19.99
4008,EAR-OP-WHT,-5,Piercing Station 1,25.99
4018,EAR-DG-RND,0,Display Case B,26.99
4006,EAR-CZ-CLR,1,Display Case A,19.99
4013,EAR-BZ-SLV,2,Display Case E,34.99
4003,EAR-HG-SLV,1,Display Case C,32.99
4019,EAR-DG-OVL,-4,Wall Rack,28.99
4015,EAR-CL-TRP,-2,Piercing Station 2,48.99
4010,EAR-ST-MN,-2,Display Case B,18.99
4022,EAR-PL-THN,0,Piercing Station 1,14.99
4004,EAR-FL-GLD,-3,Display Case B,29.99
4011,EAR-ST-HRT,-3,Piercing Station 2,18.99
4001,EAR-TI-SLV,-1,Piercing Station 2,22.99
4000,EAR-TI-GLD,-3,Display Case A,24.99
4023,EAR-PL-THK,0,Display Case E,16.99
4009,EAR-OP-PNK,2,Piercing Station 2,27.99
