productid,sku,quantity,location,item cost price
4000,EAR-TI-GLD,-1,Display Case E,24.99
4001,EAR-TI-SLV,0,Display Case B,22.99
4002,EAR-HG-GLD,0,Display Case C,34.99
4003,EAR-HG-SLV,-2,Display Case E,32.99
4004,EAR-FL-GLD,3,Back Stock,29.99
4005,EAR-FL-SLV,2,Display Case E,27.99
4006,EAR-CZ-CLR,0,Display Case D,19.99
4007,EAR-CZ-BLK,0,Display Case C,19.99
4008,EAR-OP-WHT,2,Back Stock,25.99
4009,EAR-OP-PNK,0,Piercing Station 1,27.99
4010,EAR-ST-MN,-1,Display Case B,18.99
4011,EAR-ST-HRT,0,Display Case D,18.99
4012,EAR-BZ-GLD,0,Display Case B,36.99
4013,EAR-BZ-SLV,2,Wall Rack,34.99
4014,EAR-CL-DBL,0,Display Case C,42.99
4015,EAR-CL-TRP,-2,Wall Rack,48.99
4016,EAR-CH-LNK,0,Display Case E,22.99
4017,EAR-CH-THR,2,Piercing Station 2,22.99
4018,EAR-DG-RND,1,Display Case D,26.99
4019,EAR-DG-OVL,0,Piercing Station 1,28.99
4020,EAR-CB-SQ,0,Back Stock,31.99
4021,EAR-CB-TRI,0,Display Case D,31.99
4022,EAR-PL-THN,0,Piercing Station 1,14.99
4023,EAR-PL-THK,0,Back Stock,16.99
5000,RS-REPAIR-01,0,Back Stock,9.99
