productid,sku,quantity,location,item cost price
4000,EAR-TI-GLD,0,Display Case B,24.99
4001,EAR-TI-SLV,-2,Piercing Station 1,22.99
4002,EAR-HG-GLD,-2,Piercing Station 2,34.99
4003,EAR-HG-SLV,0,Display Case C,32.99
4004,EAR-FL-GLD,-2,Display Case A,29.99
4005,EAR-FL-SLV,0,Wall Rack,27.99
4006,EAR-CZ-CLR,-2,Display Case D,19.99
4007,EAR-CZ-BLK,1,Piercing Station 2,19.99
4008,EAR-OP-WHT,0,Display Case D,25.99
4009,EAR-OP-PNK,0,Display Case B,27.99
4010,EAR-ST-MN,0,Display Case B,18.99
4011,EAR-ST-HRT,0,Piercing Station 2,18.99
4012,EAR-BZ-GLD,0,Piercing Station 2,36.99
4013,EAR-BZ-SLV,0,Display Case C,34.99
4014,EAR-CL-DBL,0,Display Case B,42.99
4015,EAR-CL-TRP,3,Display Case E,48.99
4016,EAR-CH-LNK,3,Display Case A,22.99
4017,EAR-CH-THR,0,Display Case E,22.99
4018,EAR-DG-RND,0,Back Stock,26.99
4019,EAR-DG-OVL,0,Piercing Station 2,28.99
4020,EAR-CB-SQ,-2,Display Case A,31.99
4021,EAR-CB-TRI,0,Wall Rack,31.99
4022,EAR-PL-THN,0,Display Case D,14.99
4023,EAR-PL-THK,0,Display Case B,16.99
