productid,sku,quantity,location,item cost price
4000,EAR-TI-GLD,-4,Display Case B,24.99
4001,EAR-TI-SLV,-5,Display Case C,22.99
4002,EAR-HG-GLD,0,Display Case B,34.99
4003,EAR-HG-SLV,-2,Piercing Station 2,32.99
4004,EAR-FL-GLD,0,Piercing Station 2,29.99
4005,EAR-FL-SLV,0,Back Stock,27.99
4006,EAR-CZ-CLR,0,Piercing Station 2,19.99
4007,EAR-CZ-BLK,-3,Wall Rack,19.99
4008,EAR-OP-WHT,0,Display Case A,25.99
4009,EAR-OP-PNK,0,Display Case A,27.99
4010,EAR-ST-MN,2,Display Case E,18.99
4011,EAR-ST-HRT,-3,Display Case C,18.99
4012,EAR-BZ-GLD,0,Piercing Station 1,36.99
4013,EAR-BZ-SLV,-4,Wall Rack,34.99
4014,EAR-CL-DBL,0,Display Case C,42.99
4015,EAR-CL-TRP,2,Display Case D,48.99
4016,EAR-CH-LNK,0,Piercing Station 1,22.99
4017,EAR-CH-THR,-2,Display Case A,22.99
4018,EAR-DG-RND,-1,Display Case B,26.99
4019,EAR-DG-OVL,1,Piercing Station 2,28.99
4020,EAR-CB-SQ,0,Piercing Station 2,31.99
4021,EAR-CB-TRI,0,Piercing Station 2,31.99
4022,EAR-PL-THN,0,Piercing Station 1,14.99
4023,EAR-PL-THK,-3,Wall Rack,16.99
5000,RS-REPAIR-01,0,Back Stock,9.99
